model_name,batch_size,input_length,regime,policy,config_used,throughput_tok_s,avg_latency_s,std_latency_s,ci95_half_ms,ms_per_token,gpu_util_pct,gpu_mem_used_mb,baseline_throughput_tok_s,speedup,speedup_ci95
gpt2,16,512,memory-bound,always-compile,compile,826.43,0.968,0.01843,8.626,19.36,97,4307,827.8,0.9983,0.0131
gpt2,32,32,kernel-overhead-bound,always-compile,compile,3268.56,0.4895,0.00414,1.937,9.79,58,4307,3275.86,0.9978,0.0049
gpt2,32,128,kernel-overhead-bound,always-compile,compile,2606.62,0.6138,0.00534,2.499,12.276,84,4307,2604.6,1.0008,0.0053
gpt2,32,512,memory-bound,always-compile,compile,932.85,1.7152,0.02344,10.97,34.304,98,7449,928.64,1.0045,0.0088
gpt2,1,32,low-utilization,always-fp16,fp16,120.69,0.4143,0.00328,1.533,8.286,33,577,121.09,0.9967,0.0043
gpt2,1,128,kernel-overhead-bound,always-fp16,fp16,120.69,0.4143,0.0031,1.453,8.285,34,585,120.3,1.0032,0.0046
gpt2,1,512,kernel-overhead-bound,always-fp16,fp16,116.35,0.4297,0.00333,1.56,8.594,32,709,116.89,0.9954,0.004
gpt2,4,32,low-utilization,always-fp16,fp16,428.03,0.4673,0.00334,1.562,9.345,34,709,466.71,0.9171,0.0036
gpt2,4,128,kernel-overhead-bound,always-fp16,fp16,417.32,0.4792,0.00361,1.69,9.585,38,711,454.56,0.9181,0.0035
gpt2,4,512,kernel-overhead-bound,always-fp16,fp16,364.85,0.5482,0.00523,2.445,10.963,50,1005,386.29,0.9445,0.006
gpt2,8,32,kernel-overhead-bound,always-fp16,fp16,850.13,0.4705,0.00406,1.899,9.41,36,1005,908.32,0.9359,0.0048
gpt2,8,128,kernel-overhead-bound,always-fp16,fp16,801.46,0.4991,0.0038,1.777,9.982,45,1005,848.27,0.9448,0.0051
gpt2,8,512,kernel-overhead-bound,always-fp16,fp16,628.26,0.6367,0.00759,3.554,12.734,68,1399,640.51,0.9809,0.0071
gpt2,16,32,kernel-overhead-bound,always-fp16,fp16,1662.49,0.4812,0.00339,1.589,9.624,47,1399,1752.39,0.9487,0.0049
gpt2,16,128,kernel-overhead-bound,always-fp16,fp16,1492.96,0.5358,0.00464,2.169,10.717,60,1399,1560.92,0.9565,0.0048
gpt2,16,512,memory-bound,always-fp16,fp16,891.98,0.8969,0.02742,12.833,17.938,96,2281,827.8,1.0775,0.0186
gpt2,32,32,kernel-overhead-bound,always-fp16,fp16,3347.57,0.478,0.00398,1.861,9.559,52,2281,3275.86,1.0219,0.005
gpt2,32,128,kernel-overhead-bound,always-fp16,fp16,2697.8,0.5931,0.00724,3.389,11.862,84,2281,2604.6,1.0358,0.0069
gpt2,32,512,memory-bound,always-fp16,fp16,1006.97,1.5889,0.02904,13.589,31.779,97,3853,928.64,1.0843,0.0113
gpt2,1,32,low-utilization,adaptive,compile,120.55,0.4148,0.00239,1.116,8.296,34,1083,121.09,0.9955,0.0035
gpt2,1,128,kernel-overhead-bound,adaptive,compile,120.23,0.4159,0.00267,1.25,8.317,36,1149,120.3,0.9994,0.0042
gpt2,1,512,kernel-overhead-bound,adaptive,compile,115.1,0.4344,0.00247,1.156,8.688,36,1297,116.89,0.9847,0.0031
