model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2,compile,False,True,32,128,50,0.6343,0.6357,0.6478,0.00833,3.899,12.687,2522.36,72,4073,12288,474.7,39.24,16.0
gpt2,compile,False,True,32,512,50,1.6985,1.6927,1.7208,0.01808,8.463,33.97,942.0,98,7215,12288,474.7,14.65,16.0
gpt2,fp16+compile,True,True,1,32,50,0.4455,0.4453,0.4538,0.00551,2.578,8.91,112.23,30,577,12288,237.4,27.93,1.0
gpt2,fp16+compile,True,True,1,128,50,0.442,0.4422,0.4459,0.00305,1.429,8.84,113.13,31,585,12288,237.4,28.16,1.0
gpt2,fp16+compile,True,True,1,512,50,0.465,0.4661,0.4704,0.00463,2.168,9.299,107.54,31,709,12288,237.4,26.76,1.0
gpt2,fp16+compile,True,True,2,32,50,0.5159,0.5024,0.5058,0.06853,32.071,10.317,193.85,34,709,12288,237.4,24.12,2.0
gpt2,fp16+compile,True,True,2,128,50,0.5031,0.504,0.5073,0.0035,1.639,10.062,198.77,36,709,12288,237.4,24.73,2.0
gpt2,fp16+compile,True,True,2,512,50,0.5331,0.532,0.5415,0.00514,2.407,10.663,187.56,45,809,12288,237.4,23.34,2.0
gpt2,fp16+compile,True,True,4,32,50,0.5018,0.5024,0.5072,0.00497,2.324,10.036,398.57,33,809,12288,237.4,24.8,4.0
gpt2,fp16+compile,True,True,4,128,50,0.515,0.5145,0.5184,0.00191,0.896,10.301,388.32,37,811,12288,237.4,24.16,4.0
gpt2,fp16+compile,True,True,4,512,50,0.5966,0.5896,0.5966,0.04087,19.127,11.932,335.23,17,1009,12288,237.4,20.86,4.0
gpt2,fp16+compile,True,True,8,32,50,0.497,0.4966,0.5042,0.00525,2.458,9.94,804.83,36,1009,12288,237.4,25.04,8.0
gpt2,fp16+compile,True,True,8,128,50,0.5277,0.5275,0.5345,0.00476,2.226,10.554,757.99,47,1009,12288,237.4,23.58,8.0
gpt2,fp16+compile,True,True,8,512,50,0.6777,0.6773,0.6845,0.0056,2.623,13.553,590.26,63,1403,12288,237.4,18.36,8.0
gpt2,fp16+compile,True,True,16,32,50,0.5182,0.514,0.5314,0.0069,3.227,10.364,1543.82,40,1403,12288,237.4,24.01,16.0
gpt2,fp16+compile,True,True,16,128,50,0.5679,0.5683,0.5772,0.00565,2.647,11.358,1408.64,51,1403,12288,237.4,21.91,16.0
gpt2,fp16+compile,True,True,16,512,50,0.8823,0.8836,0.9105,0.02463,11.527,17.646,906.72,93,2189,12288,237.4,14.1,16.0
gpt2,fp16+compile,True,True,32,32,50,0.5091,0.5082,0.5145,0.00299,1.398,10.183,3142.54,46,2189,12288,237.4,24.44,32.0
gpt2,fp16+compile,True,True,32,128,50,0.6221,0.6202,0.6522,0.01235,5.782,12.443,2571.77,69,2189,12288,237.4,20.0,32.0
gpt2,fp16+compile,True,True,32,512,50,1.5738,1.5825,1.6032,0.03073,14.383,31.476,1016.65,98,3761,12288,237.4,7.91,32.0
gpt2-large,baseline,False,False,1,32,50,1.319,1.2722,1.4789,0.09861,46.149,26.379,37.91,49,3479,12288,2952.7,117.37,0.5
gpt2-large,baseline,False,False,1,128,50,1.2457,1.2422,1.279,0.02122,9.93,24.914,40.14,52,3671,12288,2952.7,124.27,0.5
gpt2-large,baseline,False,False,1,512,50,1.3433,1.3451,1.3521,0.00776,3.629,26.867,37.22,63,4071,12288,2952.7,115.24,0.5
gpt2-large,baseline,False,False,2,32,50,1.5936,1.6637,1.6763,0.1325,62.014,31.872,62.75,43,4071,12288,2952.7,97.14,1.0
gpt2-large,baseline,False,False,2,128,50,1.3558,1.3513,1.3716,0.02605,12.19,27.116,73.76,47,4071,12288,2952.7,114.18,1.0
